topology,trial,initial_infected,t10,t50,peak_infected,final_size,auc,reached_10,reached_50,duration
WS,37,1,14.0,24.0,623,0.999,19377.5,True,True,196
WS,37,5,9.0,18.0,628,1.0,19398.5,True,True,158
WS,37,10,6.0,16.0,616,1.0,20014.0,True,True,131
WS,38,1,15.0,24.0,651,1.0,20688.5,True,True,181
WS,38,5,10.0,18.0,614,1.0,19930.5,True,True,162
WS,38,10,5.0,13.0,699,1.0,20737.0,True,True,242
WS,39,1,15.0,25.0,635,1.0,19578.5,True,True,244
WS,39,5,7.0,15.0,662,1.0,19771.5,True,True,150
WS,39,10,6.0,15.0,672,1.0,19533.0,True,True,145
WS,40,1,16.0,25.0,634,0.997,19602.5,True,True,175
WS,40,5,11.0,22.0,602,0.999,19751.5,True,True,195
WS,40,10,6.0,14.0,673,1.0,20173.0,True,True,149
WS,41,1,12.0,22.0,635,1.0,19403.5,True,True,189
WS,41,5,7.0,15.0,690,0.998,19829.5,True,True,142
WS,41,10,6.0,15.0,652,1.0,20890.0,True,True,177
WS,42,1,27.0,36.0,618,1.0,20153.5,True,True,166
WS,42,5,8.0,16.0,642,1.0,20382.5,True,True,188
WS,42,10,6.0,14.0,677,1.0,21322.0,True,True,184
WS,43,1,17.0,26.0,649,0.999,20145.5,True,True,165
WS,43,5,7.0,15.0,647,0.999,20304.5,True,True,173
WS,43,10,5.0,13.0,659,1.0,20006.0,True,True,167
