topology,strategy,fraction,trial,n,beta,gamma,t10,t50,peak_infected,auc,final_size,duration
ER,random,0.05,22,1000,0.15,0.05,5,9.0,683,19078.5,0.942,168
ER,random,0.05,23,1000,0.15,0.05,6,10.0,682,17827.5,0.936,173
ER,random,0.05,24,1000,0.15,0.05,6,11.0,672,19510.5,0.943,216
ER,random,0.05,25,1000,0.15,0.05,6,11.0,666,18267.5,0.939,185
ER,random,0.05,26,1000,0.15,0.05,6,11.0,701,19019.5,0.938,177
ER,random,0.05,27,1000,0.15,0.05,6,11.0,657,18169.5,0.933,175
ER,random,0.05,28,1000,0.15,0.05,7,11.0,677,18997.5,0.941,128
ER,random,0.05,29,1000,0.15,0.05,8,12.0,676,18769.5,0.938,149
ER,random,0.05,30,1000,0.15,0.05,5,10.0,707,18456.5,0.941,120
ER,random,0.05,31,1000,0.15,0.05,6,10.0,666,18083.5,0.936,116
ER,random,0.05,32,1000,0.15,0.05,6,11.0,696,18567.5,0.94,122
ER,random,0.05,33,1000,0.15,0.05,7,11.0,665,18474.5,0.936,152
ER,random,0.05,34,1000,0.15,0.05,6,11.0,661,17987.5,0.936,174
ER,random,0.05,35,1000,0.15,0.05,6,11.0,696,19365.5,0.94,133
ER,random,0.05,36,1000,0.15,0.05,7,11.0,679,18790.5,0.939,124
ER,random,0.05,37,1000,0.15,0.05,7,11.0,689,19086.5,0.935,175
ER,random,0.05,38,1000,0.15,0.05,7,12.0,702,18209.5,0.937,137
ER,random,0.05,39,1000,0.15,0.05,6,11.0,685,19313.5,0.937,144
ER,random,0.05,40,1000,0.15,0.05,6,10.0,705,18813.5,0.946,151
ER,random,0.05,41,1000,0.15,0.05,7,11.0,678,18701.5,0.94,131
ER,random,0.05,42,1000,0.15,0.05,6,10.0,681,17732.5,0.935,121
ER,random,0.05,43,1000,0.15,0.05,6,11.0,649,17698.5,0.933,132
ER,random,0.05,44,1000,0.15,0.05,7,11.0,704,19375.5,0.946,137
ER,random,0.05,45,1000,0.15,0.05,6,10.0,718,19393.5,0.941,163
ER,random,0.05,46,1000,0.15,0.05,6,10.0,676,17734.5,0.931,188
ER,random,0.05,47,1000,0.15,0.05,7,12.0,701,18756.5,0.94,174
ER,random,0.05,48,1000,0.15,0.05,7,11.0,670,18268.5,0.939,120
ER,random,0.05,49,1000,0.15,0.05,7,12.0,656,18167.5,0.936,131
ER,random,0.05,50,1000,0.15,0.05,6,11.0,703,19156.5,0.94,134
ER,random,0.05,51,1000,0.15,0.05,6,11.0,659,18497.5,0.937,140
ER,random,0.05,52,1000,0.15,0.05,7,11.0,687,18752.5,0.941,156
ER,random,0.05,53,1000,0.15,0.05,7,12.0,665,18202.5,0.94,142
ER,random,0.05,54,1000,0.15,0.05,7,12.0,682,19214.5,0.939,167
ER,random,0.05,55,1000,0.15,0.05,5,10.0,679,18403.5,0.934,147
ER,random,0.05,56,1000,0.15,0.05,5,10.0,688,17788.5,0.942,159
ER,random,0.05,57,1000,0.15,0.05,7,11.0,677,19331.5,0.941,155
ER,random,0.05,58,1000,0.15,0.05,5,10.0,697,19863.5,0.935,192
ER,random,0.05,59,1000,0.15,0.05,5,10.0,672,18955.5,0.936,170
ER,random,0.05,60,1000,0.15,0.05,7,12.0,711,19265.5,0.94,163
ER,random,0.05,61,1000,0.15,0.05,9,13.0,659,19341.5,0.94,230
ER,random,0.05,62,1000,0.15,0.05,7,12.0,675,19016.5,0.94,215
ER,random,0.05,63,1000,0.15,0.05,5,10.0,683,18246.5,0.946,136
ER,random,0.05,64,1000,0.15,0.05,8,13.0,681,18408.5,0.937,146
ER,random,0.05,65,1000,0.15,0.05,6,10.0,673,18996.5,0.938,155
ER,random,0.05,66,1000,0.15,0.05,6,10.0,673,18825.5,0.942,169
ER,random,0.05,67,1000,0.15,0.05,7,12.0,659,18341.5,0.924,177
ER,random,0.05,68,1000,0.15,0.05,6,11.0,656,18323.5,0.935,152
ER,random,0.05,69,1000,0.15,0.05,7,11.0,654,18534.5,0.94,177
