topology,trial,beta,t10,t50,peak_infected,final_size,auc,reached_10,reached_50,duration
ER,43,0.05,14.0,,441,0.944,19461.5,True,False,178
ER,43,0.15,6.0,10.0,734,0.988,20392.5,True,True,229
ER,43,0.25,4.0,7.0,815,0.992,20760.5,True,True,145
ER,44,0.05,16.0,,454,0.951,19642.5,True,False,173
ER,44,0.15,5.0,10.0,726,0.989,19701.5,True,True,138
ER,44,0.25,4.0,6.0,798,0.997,19786.5,True,True,168
ER,45,0.05,14.0,,499,0.964,20447.5,True,False,175
ER,45,0.15,6.0,11.0,706,0.989,19002.5,True,True,157
ER,45,0.25,5.0,7.0,795,0.993,18736.5,True,True,143
ER,46,0.05,15.0,,441,0.939,17780.5,True,False,145
ER,46,0.15,6.0,11.0,720,0.988,18401.5,True,True,176
ER,46,0.25,4.0,7.0,797,0.995,18294.5,True,True,128
ER,47,0.05,17.0,,455,0.944,18748.5,True,False,198
ER,47,0.15,6.0,10.0,729,0.986,19919.5,True,True,140
ER,47,0.25,4.0,7.0,793,0.995,19928.5,True,True,173
ER,48,0.05,17.0,,472,0.949,19730.5,True,False,177
ER,48,0.15,6.0,10.0,739,0.99,19583.5,True,True,176
ER,48,0.25,4.0,7.0,831,0.993,19390.5,True,True,144
ER,49,0.05,20.0,,397,0.951,18579.5,True,False,168
ER,49,0.15,5.0,9.0,734,0.988,19890.5,True,True,140
ER,49,0.25,4.0,7.0,813,0.995,20004.5,True,True,168
WS,0,0.05,40.0,,260,0.959,18704.5,True,False,234
WS,0,0.15,10.0,20.0,609,0.998,20193.5,True,True,135
WS,0,0.25,6.0,11.0,758,1.0,20358.5,True,True,152
WS,1,0.05,48.0,,276,0.957,18629.5,True,False,214
WS,1,0.15,9.0,21.0,607,0.999,19360.5,True,True,191
WS,1,0.25,5.0,11.0,754,1.0,19951.5,True,True,183
WS,2,0.05,29.0,,295,0.956,20117.5,True,False,247
WS,2,0.15,9.0,19.0,627,1.0,21258.5,True,True,227
WS,2,0.25,5.0,10.0,766,1.0,21409.5,True,True,164
WS,3,0.05,30.0,,289,0.967,19283.5,True,False,256
WS,3,0.15,9.0,18.0,616,0.999,20089.5,True,True,199
WS,3,0.25,6.0,11.0,743,1.0,20485.5,True,True,154
WS,4,0.05,42.0,,243,0.953,17692.5,True,False,198
WS,4,0.15,9.0,16.0,667,1.0,19816.5,True,True,136
WS,4,0.25,5.0,10.0,758,1.0,20129.5,True,True,175
WS,5,0.05,47.0,,328,0.971,20268.5,True,False,289
WS,5,0.15,9.0,18.0,641,0.999,20238.5,True,True,146
WS,5,0.25,6.0,13.0,735,1.0,20278.5,True,True,146
WS,6,0.05,26.0,,339,0.963,18985.5,True,False,201
WS,6,0.15,8.0,16.0,633,1.0,19866.5,True,True,184
WS,6,0.25,5.0,11.0,738,1.0,19530.5,True,True,125
WS,7,0.05,24.0,,346,0.968,20351.5,True,False,203
WS,7,0.15,7.0,15.0,650,0.999,19862.5,True,True,156
WS,7,0.25,6.0,11.0,766,1.0,19608.5,True,True,164
WS,8,0.05,49.0,,312,0.972,19359.5,True,False,219
WS,8,0.15,8.0,19.0,619,0.999,19356.5,True,True,191
WS,8,0.25,6.0,11.0,761,1.0,19731.5,True,True,174
WS,9,0.05,33.0,,337,0.974,19027.5,True,False,207
WS,9,0.15,9.0,17.0,647,1.0,20107.5,True,True,155
WS,9,0.25,5.0,11.0,738,1.0,20069.5,True,True,162
WS,10,0.05,32.0,,305,0.963,19311.5,True,False,181
WS,10,0.15,9.0,18.0,634,1.0,19445.5,True,True,179
WS,10,0.25,7.0,12.0,738,1.0,20147.5,True,True,191
WS,11,0.05,21.0,,318,0.964,19681.5,True,False,220
WS,11,0.15,7.0,15.0,655,0.999,20347.5,True,True,182
WS,11,0.25,5.0,10.0,751,1.0,19497.5,True,True,125
WS,12,0.05,34.0,,339,0.964,18910.5,True,False,226
WS,12,0.15,10.0,19.0,624,1.0,20660.5,True,True,184
WS,12,0.25,6.0,11.0,733,1.0,20768.5,True,True,147
WS,13,0.05,18.0,,290,0.979,19873.5,True,False,266
WS,13,0.15,8.0,19.0,604,1.0,18548.5,True,True,154
WS,13,0.25,5.0,10.0,753,1.0,19693.5,True,True,129
